07005;ABBEVILLE
07015;LILLELESQUIN
07020;PTEDELAHAGUE
07027;CAENCARPIQUET
07037;ROUENBOOS
07072;REIMSPRUNAY
07110;BRESTGUIPAVAS
07117;PLOUMANACH
07130;RENNESSTJACQUES
07139;ALENCON
07149;ORLY
07168;TROYESBARBEREY
07181;NANCYOCHEY
07190;STRASBOURGENTZHEIM
07207;BELLEILELETALUT
07222;NANTESBOUGUENAIS
07240;TOURS
07255;BOURGES
07280;DIJONLONGVIC
07299;BALEMULHOUSE
07314;PTEDECHASSIRON
07335;POITIERSBIARD
07434;LIMOGESBELLEGARDE
07460;CLERMONTFD
07471;LEPUYLOUDES
07481;LYONSTEXUPERY
07510;BORDEAUXMERIGNAC
07535;GOURDON
07558;MILLAU
07577;MONTELIMAR
07591;EMBRUN
07607;MONTDEMARSAN
07621;TARBES-OSSUN
07627;STGIRONS
07630;TOULOUSEBLAGNAC
07643;MONTPELLIER
07650;MARIGNANE
07661;CAPCEPET
07690;NICE
07747;PERPIGNAN
07761;AJACCIO
07790;BASTIA
61968;GLORIEUSES
61970;JUANDENOVA
61972;EUROPA
61976;TROMELIN
61980;GILLOTAEROPORT
61996;NOUVELLEAMSTERDAM
61997;CROZET
61998;KERGUELEN
67005;PAMANDZI
71805;STPIERRE
78890;LADESIRADEMETEO
78894;STBARTHELEMYMETEO
78897;LERAIZETAERO
78922;TRINITECARAVEL
78925;LAMENTINAERO
81401;SAINTLAURENT
81405;CAYENNEMATOURY
81408;SAINTGEORGES
81415;MARIPASOULA
89642;DUMONTDURVILLE
